t,pRAF_Obs,ERK_Obs
0,1.989431275654e-06,0.902714867412952
0.45,NaN,0.861276927740559
0.55,0.000182350627403324,NaN
0.85,NaN,0.805480894107228
1,0.000152581555016527,NaN
1.5,0.000106046015750757,0.819623174694386
2,NaN,0.90717982373375
2.5,5.24000398949887e-05,0.936622753645924
3,5.30201455179485e-05,0.927233373199106
3.5,NaN,0.973471364786894
4,4.73437299444306e-05,NaN
4.5,NaN,1.00196487908321
5,3.216434092952e-05,NaN
5.5,NaN,1.03392646872036
6.5,3.9938020767499e-05,0.953906435220958
8,5.39010880419424e-05,0.929628418184526
