t,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.00227773484736205,1.14158826489718,0.0499542066901814
2,NaN,0.636262143852144,0.179424629358027
3.5,0.00503549501842504,NaN,NaN
4,NaN,0.802628238570692,0.0934685419411497
6.5,NaN,0.816002570966349,0.0679836979142407
7.5,0.00132963140647272,NaN,NaN
9,NaN,1.04632184698225,0.0409430790787378
10,0.00179425342272759,1.14147469225875,0.0587602620621272
15,0.00199338844329176,0.998442010238447,0.0385240298904224
20,NaN,0.876955843266275,0.0460081908298105
25,0.00162436302852465,1.02917992985067,0.0548389090804212
