t,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.00179907006880481,1.16330355527522,0.0521709488029127
2,NaN,1.06704848941074,0.0376133077170164
3.5,NaN,0.982447876017434,NaN
4,NaN,NaN,0.0252345379273922
4.5,0.000831315822978285,NaN,NaN
5.5,NaN,1.02356629580629,NaN
6.5,NaN,NaN,0.0101767686320845
8,NaN,0.81505335232168,NaN
9,0.000555246955438638,NaN,0.0200830550252058
10,NaN,1.08703754268673,0.014098436751009
15,0.000674480244412751,1.08287588011537,0.0198449617106515
20,0.000730461874933429,1.02430927862604,0.014990270617226
25,NaN,1.01658868791838,0.0177679658949818
