t,MEK_Obs,pMEK_Obs,ERK_Obs
0,0.896539025912114,0.000986182420968497,0.996434246708584
0.35,1.02281365574801,NaN,NaN
0.4,NaN,NaN,0.941080799641709
0.7,0.931877064772401,NaN,NaN
0.8,NaN,NaN,0.716028685569157
1,1.08668862362686,NaN,NaN
1.5,1.34628733053189,NaN,0.847040151456659
2,0.964673750456739,NaN,NaN
2.5,0.855863218511217,NaN,0.884653705225734
3,NaN,NaN,0.72296681303936
3.5,0.701449665816325,NaN,1.05946487770249
4,1.06325071272175,0.000480921187119551,NaN
4.5,NaN,NaN,0.902966050146376
5.5,NaN,NaN,0.759260068159065
6.5,NaN,NaN,0.511270214327691
8.5,NaN,0.000340624069341047,NaN
15,NaN,0.000438126254686818,NaN
20,NaN,0.000304480205374037,NaN
