t,MEK_Obs,pMEK_Obs,ERK_Obs
0,1.16386615098792,0.000690076738903459,0.941666215652657
0.3,0.955867127705919,NaN,NaN
0.4,NaN,NaN,1.21791472492907
0.6,1.18358384760899,NaN,NaN
0.85,NaN,NaN,1.02966422845042
0.9,0.831518175152778,NaN,NaN
1.5,1.14179473724408,NaN,0.883829136721736
2,1.08203385951925,NaN,0.763423304087889
2.5,0.879138489925911,NaN,1.27526335722646
3,1.31017464965051,NaN,1.0038078740877
3.5,0.878636305567158,NaN,NaN
4,NaN,0.00426201027031315,NaN
4.5,0.831045758514238,NaN,NaN
5.5,0.776934316374039,NaN,NaN
8,NaN,0.00428992520272502,NaN
15,NaN,0.00475916994114604,NaN
20,NaN,0.0036466208695615,NaN
