t,pEGFR_Obs,pAkt_Obs
0,182102.823322529,-0.000149953328189274
45,5323578.81698742,NaN
95,5809245.03887802,NaN
150,3425034.80134399,NaN
200,1902858.00024334,NaN
250,874242.2009259,NaN
300,476182.805228985,0.0122344941600806
400,64294.5684338294,NaN
500,1078.92628055796,NaN
600,115436.079168853,0.00104956993373895
700,-22872.2146914797,NaN
850,281663.794111085,NaN
900,NaN,0.000563714732247305
1500,NaN,0.000365698050524645
2000,NaN,0.000257067603832864
3000,NaN,0.000197758465447464
3500,NaN,0.000416522303378326
