t,pEGFR_Obs,pAkt_Obs
0,116745.402461011,0.000130199431766758
45,10426248.1801123,NaN
90,6722596.4286947,NaN
150,1716825.74010736,NaN
200,606704.75373384,NaN
250,-112337.805572851,0.00945393219312568
300,-216359.616823124,NaN
400,-85823.057413966,NaN
450,56887.0473378701,NaN
550,-276141.508732836,0.000550053404530249
650,-328504.686087929,NaN
800,156374.344443684,NaN
850,NaN,0.000458390302952243
1000,NaN,0.000147280664887682
1500,NaN,0.000400778311056786
2000,NaN,0.00030735183547671
2500,NaN,-0.000153809457101466
3500,NaN,9.29591410351581e-06
