t,pEGFR_Obs,pAkt_Obs
0,-285706.544499024,-2.3804499510143e-05
30,12550770.207725,NaN
65,9039681.59091645,NaN
100,3762424.0244296,NaN
150,1016886.57400375,NaN
200,90850.4302849584,NaN
250,141900.543883781,0.00756453790610561
300,336074.599255006,NaN
400,363837.917124256,NaN
450,18769.5120325081,NaN
500,NaN,0.000510267503312962
550,-82763.8797961202,NaN
800,NaN,0.000201225075020403
1000,NaN,0.000274049383209404
1500,NaN,0.000138742114295939
2000,NaN,4.53872908358953e-05
2500,NaN,9.31683222713992e-05
3000,NaN,8.33284818498688e-05
