t,pEGFR_Obs,pAkt_Obs
0,7991.55356133545,0.00017293620306384
350,292345.551311706,NaN
400,NaN,0.00571471373270396
700,187149.689113188,NaN
850,NaN,0.00336614943652116
1000,132867.640499699,NaN
1500,65218.1287846438,0.00152859813556737
2000,36242.3250005243,0.000882955412328281
2500,24146.0758859127,0.000866220973219349
3000,7641.16996295891,0.000368459813681445
3500,-1507.353982913,0.000144660358357109
4500,256.098759649018,1.14865534307383e-05
5500,10366.2996373837,3.35260759669295e-05
6500,63.4704964507584,1.98791173328477e-06
