t,pJAK2_Obs,pSTAT5_Obs,IL13_DecoyR_Obs
0,-0.251313562062832,8.57835394970192,-0.0112840309044717
10,1.70563525668889,NaN,NaN
15,NaN,26.3546271843261,0.137124447722828
20,2.21335564458312,NaN,NaN
25,NaN,63.9891563202234,NaN
30,2.38469636997302,NaN,0.218613921200639
40,NaN,60.1655069012522,NaN
45,1.75003472441032,NaN,0.28186349415637
55,1.60904290657988,57.9355304150019,NaN
65,NaN,NaN,0.341775946161143
70,1.22439019729621,63.6888946588869,NaN
85,1.52583244161831,NaN,0.32420865606905
90,NaN,61.4842150617527,NaN
100,1.04963468414776,54.6466766680515,0.302954526717163
150,0.992950886520094,58.9077312620584,0.359508249610125
200,0.68225724448038,55.6662526935743,0.376444887687567
250,NaN,34.0984670851887,0.295323587671167
300,NaN,30.5173246837057,0.400291708560421
