t,p_IL13_Rec_Obs,IL13_DecoyR_Obs
0,0.0320961681247008,-0.0285834714972573
3,NaN,0.278887813103709
6.5,NaN,0.36118320988168
10,0.89078436852779,0.365561845452203
15,NaN,0.336389318399211
20,NaN,0.348947505138215
25,0.737938718810023,0.343876437229853
30,NaN,0.352774707638422
40,0.764282853337546,NaN
50,0.774459019182294,NaN
65,0.863427344923943,NaN
85,0.655829374315508,NaN
100,0.677079169109155,NaN
150,0.453830173730203,NaN
200,0.554207091830014,NaN
250,0.650840811621699,NaN
300,0.413541558290121,NaN
