t,p_IL13_Rec_Obs,pJAK2_Obs,pSTAT5_Obs
0,0.039594910437505,-0.117392638218741,-1.1091587048051
10,0.317881898294154,2.63142514044326,NaN
15,NaN,NaN,31.058176263793
25,0.32385505103717,3.02046238165006,68.8180170340024
35,NaN,2.343954174038,NaN
40,0.278615240569748,NaN,74.1281535300767
50,0.369796980955861,2.50215086214229,NaN
55,NaN,NaN,80.2533351282257
65,0.342669180225283,2.50850252556263,NaN
70,NaN,NaN,75.8872839302134
80,NaN,2.15408241476523,NaN
85,0.365649421008189,NaN,NaN
90,NaN,NaN,80.9777209379825
100,0.294893426001632,1.76198994099704,57.2601893389798
150,0.257322902144704,1.64773650123423,52.3532384191825
200,0.251460589664339,1.5504478802124,75.1404484832728
250,0.270308136588923,1.45476082272446,45.8011659134371
300,0.254499068886016,NaN,62.1525450196254
