t,ApoER2_Dab1SFK_Obs,pApoER2_re_Dab1_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000153082323638674,-7.14119567563168e-07,1.217184951779,0.189502534778347
15,1.69038592000964e-06,NaN,NaN,1.08934612576838
30,NaN,NaN,NaN,0.963961910233499
35,2.97393435146086e-07,0.000835849646253481,0.970703822591743,NaN
45,NaN,NaN,NaN,0.938619853596974
55,1.50581331134898e-06,NaN,NaN,NaN
65,NaN,0.000752379266717589,NaN,0.852575944885271
70,NaN,NaN,0.832035659996442,NaN
75,-5.99062771156023e-07,NaN,NaN,NaN
80,NaN,NaN,NaN,0.716177838846634
100,1.76348023946448e-06,0.000575436657104749,0.728495574540233,0.670151723805028
150,-6.26525063461849e-07,0.000477956690193594,0.531297179448889,0.497165255276961
200,1.56010616630612e-06,0.000364461059697685,0.468342413630479,0.433701887465632
250,NaN,0.000295625700961174,0.393427515852225,0.38905060628775
300,NaN,0.000230818454395422,NaN,0.307317834370337
350,NaN,0.000233145684526367,0.29237606579111,NaN
400,NaN,0.000208257774248529,NaN,NaN
450,NaN,NaN,0.27796277690132,NaN
500,NaN,0.000169615231172301,NaN,NaN
550,NaN,NaN,0.233017121219901,NaN
600,NaN,0.000137774628877939,NaN,NaN
