t,ApoER2_Dab1SFK_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000148682364135028,1.20531486994121,0.209134563103772
20,NaN,NaN,0.622657480471254
25,6.64449415233152e-05,1.11292469769774,NaN
40,NaN,NaN,0.573767978110841
50,7.6706693568653e-05,1.03572006998744,NaN
60,NaN,NaN,0.522844774807315
75,8.19251498505877e-05,NaN,NaN
80,NaN,1.09526180501128,0.471531781368372
100,7.98366118821851e-05,0.982197207882195,0.39326070489815
150,8.2129477288626e-05,0.870037680741984,0.292762377885925
200,9.90160565357865e-05,0.907289509601231,0.256193024575567
250,9.34008026802258e-05,0.890790181526405,0.227527570938566
300,0.000114654222847768,NaN,0.190696663025419
350,0.000106892428120072,0.831527426029744,NaN
400,0.000112841408531184,0.872251859679265,NaN
450,0.000111765949046078,NaN,NaN
500,NaN,0.900725853587173,NaN
600,NaN,1.0364489958632,NaN
