t,ApoER2_Dab1SFKInh_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00432672724809283,1.15912679704922,0.00373840634169447
7,NaN,NaN,0.00388926478756234
15,0.00349346750033701,NaN,0.00382164662184052
25,NaN,1.24013063041599,0.00375810939246817
30,NaN,NaN,0.00359830343403067
35,0.0034264627607675,NaN,NaN
45,NaN,1.29296940237464,0.00378033214136482
50,0.00405747173837881,NaN,NaN
55,NaN,NaN,0.00362262670762884
70,NaN,1.49008539442019,0.00367833722470543
75,0.00347587576323734,NaN,NaN
95,NaN,1.33393531071547,NaN
100,0.003795612988125,1.31336560868527,NaN
150,0.00349267511448597,1.43149959861886,NaN
200,NaN,1.55166477534066,NaN
250,NaN,1.48737401875309,NaN
300,NaN,1.69009911539539,NaN
400,NaN,1.79462078181667,NaN
450,NaN,2.02448980397024,NaN
550,NaN,2.07433679247321,NaN
