t,ApoER2_Dab1SFKInh_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00379408961875824,1.24467858509721,0.0307828317664435
25,NaN,1.05376087040772,0.10932689411481
35,0.0027484285028655,NaN,NaN
45,NaN,NaN,0.346822160524448
50,NaN,0.930068384035735,NaN
70,0.00240715747925905,NaN,0.450216943823253
80,NaN,0.84034091254332,NaN
100,0.00178578023100514,0.697465991374125,0.592054562022356
150,0.00142789453504812,0.57812275818357,0.766978541946896
200,0.000920133158066935,0.547413246269435,1.00379623940987
250,0.000690284151912768,0.42391680711014,1.25165490829253
300,0.00049952175622232,0.370546292508359,1.33428959576955
350,NaN,NaN,1.48223455060039
400,0.000153806258039539,0.297458915945168,1.46346256103452
450,0.000245478858234848,0.291597485087131,NaN
500,NaN,NaN,1.75674204855979
550,NaN,0.224209794017043,NaN
600,5.40429096994506e-06,NaN,1.87676762313331
