t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.76494323640894,1.36984719722269e-05,0,0.00146418554998111
0.1,0.108995521926778,NaN,NaN,NaN
0.15,NaN,NaN,NaN,0.275122542545889
0.2,0.00255570685667428,NaN,0.755379038261025,NaN
0.3,0.000467382053595007,NaN,NaN,0.379689347293231
0.4,NaN,NaN,0.614950455749403,NaN
0.45,8.86769973666232e-06,NaN,NaN,NaN
0.5,NaN,0.00355305089799845,NaN,0.40701809305657
0.55,4.2519681015717e-06,NaN,NaN,NaN
0.6,NaN,NaN,0.155565983207115,NaN
0.7,1.6856036491231e-06,NaN,NaN,0.728624587250319
0.85,NaN,NaN,0.407441815038998,NaN
0.9,8.42897793611358e-07,NaN,NaN,0.941273519772761
1,6.74040075808438e-07,0.00116734006874039,0.34886735847366,0.660694561018045
1.5,NaN,0.00269829130936834,0.712827146387296,0.801063546325836
2,NaN,NaN,0.18164847342417,1.90853224219723
2.5,NaN,0.00109435801782501,0.32788266660407,0.701837452658841
3,NaN,0.00259007427060527,NaN,0.526764432456451
3.5,NaN,NaN,0.417640723644764,NaN
4,NaN,0.00181085152287379,NaN,NaN
