t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.4225713048392,7.20069475070017e-05,0,0.00149278043666314
0.09,0.0583571207136649,NaN,NaN,NaN
0.2,0.00226319772053848,NaN,NaN,NaN
0.3,0.000191215183987127,0.140178382102166,0.448312365104088,NaN
0.35,NaN,NaN,NaN,0.203080301300011
0.4,8.63345324208824e-06,NaN,NaN,NaN
0.55,7.08387981515009e-06,NaN,NaN,NaN
0.6,NaN,0.155058109452016,0.328792104620706,NaN
0.7,5.05496194411085e-06,NaN,NaN,NaN
0.75,NaN,NaN,NaN,0.700295332260251
0.85,8.84510779892165e-06,NaN,NaN,NaN
0.95,NaN,0.1382694183108,0.664803155540801,NaN
1,3.55488069520274e-06,NaN,NaN,0.922917301726303
1.5,NaN,0.0677791518660434,0.482610821717132,0.669180306604964
2,NaN,0.115223106783162,0.203593737107702,0.793224978494036
2.5,NaN,0.153080208555906,0.290864025082202,NaN
3,NaN,NaN,0.779862793741315,0.465983458568182
3.5,NaN,0.185782677965698,NaN,0.456178897492764
4,NaN,0.21193944391881,0.504983722145612,NaN
4.5,NaN,NaN,0.384840023466671,NaN
5.5,NaN,NaN,0.354865854655029,NaN
