t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.53342656274206,6.42382436982551e-07,0,0.00114400402793101
0.1,0.120347547009364,NaN,NaN,NaN
0.15,NaN,NaN,0.649679214736471,0.236529483317045
0.2,0.00914686859555508,NaN,NaN,NaN
0.25,NaN,NaN,0.367086851078672,0.408326975991255
0.35,0.000256253501194159,NaN,NaN,NaN
0.4,NaN,NaN,0.95547781508112,0.438522879075782
0.5,7.38463784652988e-06,NaN,NaN,NaN
0.55,NaN,NaN,0.50908830720465,0.549849040462383
0.6,NaN,0.000568832672649454,NaN,NaN
0.65,5.72955323570697e-07,NaN,NaN,NaN
0.7,NaN,NaN,0.282732971343358,0.912578886248869
0.85,1.98325894280989e-07,NaN,0.227184955113707,NaN
0.9,NaN,NaN,NaN,0.602290696322139
1,1.62972639007315e-07,0.000458369565588985,0.332851682820843,0.543912945332472
1.5,NaN,NaN,0.37087720544005,0.773959995177835
2,NaN,0.000196009821748664,0.128714396092381,NaN
2.5,NaN,0.000269161971542881,0.218929667328326,NaN
3.5,NaN,0.000224479645203643,NaN,NaN
4.5,NaN,0.00015678299916663,NaN,NaN
5.5,NaN,0.000171222442201829,NaN,NaN
6.5,NaN,0.000275876986893695,NaN,NaN
8,NaN,0.00012134163705162,NaN,NaN
9.5,NaN,0.000239864986037208,NaN,NaN
