t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.396413323898388,0.0006963508519004,0,0.000908317335047086
0.07,0.0330280691800115,NaN,NaN,NaN
0.15,0.00142622490307345,NaN,NaN,NaN
0.2,0.000115542233020475,NaN,NaN,NaN
0.3,1.26281700336774e-05,NaN,NaN,NaN
0.35,NaN,NaN,0.265575364849595,NaN
0.4,5.55831118678599e-06,NaN,NaN,NaN
0.55,2.94043214411506e-06,NaN,NaN,NaN
0.65,4.18332536091187e-06,NaN,0.1789190407244,NaN
0.8,6.36434800153939e-06,NaN,NaN,NaN
1,NaN,NaN,0.275261799801401,NaN
1.5,NaN,NaN,0.425014095208824,NaN
2,NaN,NaN,0.127634793062877,0.172813466590288
2.5,NaN,NaN,0.161767436364705,NaN
3,NaN,NaN,0.167922439302854,NaN
3.5,NaN,1.01448543537026,0.167136256354678,NaN
4,NaN,NaN,NaN,0.194337224154476
4.5,NaN,NaN,0.109021178616012,NaN
5.5,NaN,NaN,0.454634509082938,NaN
6,NaN,NaN,NaN,0.184614312285006
7,NaN,0.566228627435013,NaN,NaN
8.5,NaN,NaN,NaN,0.113570534290967
10,NaN,0.621896823696862,NaN,0.164616972590648
15,NaN,0.620843852409624,NaN,0.178199836187334
20,NaN,NaN,NaN,0.127450781342161
