t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.594051194714792,5.03479824867924e-05,0,0.000801533363238505
0.075,0.456287044784734,NaN,NaN,NaN
0.15,0.053717802625497,NaN,NaN,NaN
0.25,0.0288495530764351,NaN,NaN,NaN
0.3,NaN,NaN,1.34250207800715,NaN
0.35,0.00472132060210071,0.334217972200372,NaN,NaN
0.4,NaN,NaN,NaN,0.565256326190212
0.45,0.000821421024457127,NaN,NaN,NaN
0.55,0.000341982012885476,NaN,NaN,NaN
0.6,NaN,NaN,0.355303160158113,NaN
0.65,NaN,0.20558250746162,NaN,NaN
0.7,3.61858502777184e-05,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.201282552795217
0.9,9.77032561667776e-06,NaN,0.149680701146086,NaN
1,NaN,0.166632810874863,NaN,NaN
1.5,NaN,0.131624597998903,0.388936872747775,0.395652945215793
2,NaN,0.254092668844846,0.511880974919418,0.54977323416639
2.5,NaN,0.113713518333889,0.214252647717054,0.644205545201152
3,NaN,0.102239139749529,NaN,NaN
3.5,NaN,0.13898182236111,0.241436350577852,0.33954032163269
4,NaN,NaN,0.302168100492796,NaN
4.5,NaN,0.0720106703771201,NaN,NaN
5,NaN,NaN,0.316268474792252,NaN
