t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,1.15067780025879,5.54305104101642e-05,0,0.000707146491078496
0.1,0.0600722199557097,NaN,NaN,NaN
0.2,0.0165291702986085,NaN,NaN,0.121527851165122
0.25,NaN,NaN,0.953943534604062,NaN
0.3,0.000246016175239596,NaN,NaN,NaN
0.4,NaN,0.0156552030135747,NaN,NaN
0.45,3.13858830846374e-06,NaN,NaN,0.617251476181805
0.55,NaN,NaN,0.384047749483674,NaN
0.6,2.06439322166599e-06,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.473040524780344
0.8,1.45460056763354e-06,NaN,NaN,NaN
0.85,NaN,0.0322513319465165,0.681636030823455,NaN
0.95,NaN,NaN,NaN,0.428852642629866
1,2.61133500033903e-06,NaN,0.343106106345732,NaN
1.5,NaN,0.0153411199336658,0.323236003029157,0.612783680132041
2,NaN,0.0194348926962122,0.757702098329014,0.604414959307951
2.5,NaN,0.0184504056433682,0.198744528941812,NaN
3,NaN,NaN,0.456377423138817,NaN
3.5,NaN,0.0133979564312241,0.101885191855783,NaN
4.5,NaN,NaN,0.149028775538036,NaN
