t,IPR_R_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.670817935280724,0.00131792639501444,0,0.00160200423497295
0.08,0.0699791704833327,NaN,NaN,NaN
0.15,0.00745589376962126,NaN,NaN,NaN
0.25,0.000112858204827801,NaN,NaN,NaN
0.35,1.21663420574165e-05,0.341833300631239,0.904303042880733,0.253176053910555
0.45,7.17731309034821e-06,NaN,NaN,NaN
0.6,5.471013905082e-06,NaN,NaN,NaN
0.7,NaN,NaN,0.369915349010978,0.348980393834343
0.75,6.28974781751145e-06,0.169103907720302,NaN,NaN
0.9,5.18891748429516e-06,NaN,NaN,NaN
1,NaN,0.399752365977672,1.00851111018446,0.317966606972396
1.5,NaN,0.256309097610019,0.284253447347219,0.218145867507321
2,NaN,0.622426306622529,0.423188387411731,0.330114995409612
2.5,NaN,NaN,0.177604839478322,0.437842246360301
3,NaN,0.465027486499636,0.477873083056903,0.233254516414788
3.5,NaN,0.526829368883247,NaN,NaN
4,NaN,NaN,0.280390930247331,NaN
4.5,NaN,NaN,0.69732227795773,NaN
6,NaN,NaN,0.510719525140848,NaN
