t,epo_level,PTPAct_Obs
22,6.6667e-07,0.00144535003824103
22,6.6667e-07,0.00151706613781995
22,1.3333e-06,0.000770225558346674
22,1.3333e-06,0.000879919536506969
22,2.6667e-06,0.00166299547968447
22,2.6667e-06,0.00171438295450951
22,5.3333e-06,0.00112703048307462
22,5.3333e-06,0.00110998289228425
22,1.0667e-05,0.00183643110108162
22,1.0667e-05,0.00186651336084075
22,2.1333e-05,0.00137325858977215
22,2.1333e-05,0.00125584632701573
22,4.2667e-05,0.000606383387070111
22,4.2667e-05,0.000597230587723728
