t,epo_level,pEpoRpJAK2_Obs,SOCS3RNA_Obs
10,2.5e-09,0.10897058642272,0.0355991650832991
10,7.905e-09,0.27036544926509,0.0329909225362304
10,1.25e-08,0.285325154888417,0.0348537096957664
10,1.75e-08,0.315391273361917,0.0371486149414217
10,2.5e-08,0.292894766481366,0.0379958208699243
10,3.95e-08,0.330454886457812,0.0322258191122337
10,7.9e-08,0.442709130296373,0.0360401927178151
10,1.25e-07,0.469638107468105,0.0359981663729253
10,1.7675e-07,0.502847142975036,0.0386789751207259
10,1.7675e-07,0.502860256609208,0.0359273849774385
10,1.7675e-07,0.537606151058028,0.0330902149879129
10,2.5e-07,0.636806759217078,0.0387933193517692
10,7.905e-07,0.897206540127135,0.0376586419278419
10,2.5e-06,1.11190310578819,0.0404949253294074
10,2.5e-06,1.1433483923728,0.0393652158748887
10,2.5e-06,1.15016917465955,0.030970465730664
