t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,7.45402694485632e-05,0.00453780590228791,0.000292947846450082,0.105247810099551,0.00984038391158301
9,NaN,NaN,NaN,NaN,0.00960126235602199
10,0.159565630311683,0.473908054241165,NaN,NaN,NaN
15,NaN,NaN,0.000266936756694779,0.113901509866693,NaN
20,NaN,NaN,NaN,NaN,0.010921594722106
25,0.0751582575113439,0.33833590158774,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00882108667261292
35,NaN,0.230644227615145,0.000325162090776412,0.106454930201142,NaN
40,0.0596735070704902,NaN,NaN,NaN,0.00993501883887996
50,NaN,0.155267737582322,NaN,NaN,NaN
55,0.0476640076256077,NaN,0.000519370022746882,0.110152967074002,0.0100890813293975
65,NaN,0.119297511171539,NaN,NaN,0.0105991289376433
70,0.0417160297612727,NaN,NaN,0.123583850225535,NaN
75,NaN,NaN,0.000629174390665998,NaN,NaN
85,NaN,0.09187359428388,NaN,NaN,0.00992367867116137
90,0.0394719870638452,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.134875767024109,NaN
100,0.0340495150017574,0.102700348795437,0.000604305222954647,0.135096310158279,0.00992277109501316
150,0.0315209189585583,0.0771059184185912,0.000567788440028179,0.163829671735926,0.009910767268827
200,0.0321515269337123,0.087353863444816,0.000524792097066772,0.157342168887149,NaN
250,NaN,NaN,0.000483820059376286,0.15863256222183,NaN
300,NaN,NaN,0.000460398739981086,NaN,NaN
