t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,0.000601861544152988,0.00434021617375502,0.000574825868473884,0.000638694819466519,0.0692541035381235,0.0115443472634043,0.0354662456234068
7.5,0.245785328571508,NaN,NaN,NaN,NaN,NaN,NaN
15,0.130416878797913,1.5905539494546,0.00054079555196414,5.66786242633859e-05,0.108637258141524,NaN,0.0349493535167207
20,NaN,NaN,NaN,NaN,NaN,0.0109939251956459,NaN
25,0.0730336630895509,1.48470788917905,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.0119425767454047,NaN,NaN
35,0.0614962742512443,NaN,0.00181585438139716,0.000628474740011342,NaN,0.0132394101777427,0.036424957687601
40,NaN,1.31240285019095,NaN,NaN,NaN,NaN,NaN
45,0.0531278904188893,NaN,NaN,NaN,0.0889462558547118,NaN,NaN
55,NaN,1.094273622364,0.00559358860425933,0.00282206316412072,NaN,0.0125299636068448,0.0358633492890258
60,0.0407110284332413,NaN,NaN,NaN,0.193411339953242,NaN,NaN
70,NaN,1.0317971867813,NaN,NaN,NaN,NaN,NaN
75,0.0454745960389232,NaN,0.00736004959882713,0.00586452712609034,NaN,0.0111822592429584,0.0383916007858143
80,NaN,NaN,NaN,NaN,0.459995587826075,NaN,NaN
90,NaN,0.736087294929869,NaN,NaN,NaN,NaN,NaN
95,0.0334387114224365,NaN,0.007459089987233,0.0074815605987043,NaN,NaN,0.0377733231488924
100,NaN,0.627175704682924,0.00771009706774648,0.00757777437055721,0.789994787909298,0.0118668183882098,0.0394230926942426
150,NaN,0.509256458048095,0.00525669290198344,0.00639376637990193,1.43405296805856,0.0117407462319805,0.0407826775446833
200,NaN,0.349867471105528,0.00363782762604842,0.00455409275976667,1.56566661405235,0.0123564099553429,0.0378363085395992
250,NaN,0.43065275781879,0.00400781155970864,0.00408305762663341,NaN,0.0103877366286774,0.0377170585514295
300,NaN,NaN,0.00285441941182151,0.00362345997038117,NaN,0.0127014463430675,0.0348711325734582
