t,epo_level,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs
21,2.5e-09,1.20877017219705,-8.40967041536761e-06,0.0939576758312551
21,2.5e-09,3.14850790366449,0.000404914303051256,0.0742328175180288
21,2.5e-09,4.69534808013941,5.41879747600183e-05,0.0885033599207717
21,2.5e-08,24.0698276688259,0.000852378896168222,0.0811469814744138
21,2.5e-08,25.6009478645928,0.000573737777001745,0.0767581448560144
21,2.5e-08,27.2185040496319,0.000587809323069433,0.0893872121787946
21,1.25e-07,43.3499423459842,0.00169826507656958,0.0862136226827814
21,1.25e-07,43.9117831056308,0.00184662970430531,0.0844964242105382
21,1.25e-07,44.1323512077288,0.00183671267135055,0.0911642891307667
21,2.5e-07,45.5415993180132,0.00240871118305164,0.10282249431333
21,2.5e-07,47.6768688402291,0.00219991214967089,0.105268302278695
21,2.5e-07,48.0573956727573,0.00216646888710518,0.110227019225901
21,1.25e-06,45.7961296482379,0.00305887627718851,0.112401736350018
21,1.25e-06,47.4986084794021,0.00312322030592193,0.0904077172115918
21,1.25e-06,48.8610441853388,0.00298998012374736,0.105966583895289
21,2.5e-06,43.0523106352424,0.00335309458013638,0.109483103209207
21,2.5e-06,45.6988662117674,0.00313418447920431,0.0987308345180999
21,2.5e-06,46.8849323842492,0.00321897652877689,0.10592952823665
