t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs
0,-0.00282901136224858,-0.00372494247889362,0.000222740116704024,67.3434841920838,0.292399566148704,0.716003280987474,0.00252661534416173,0.00196977173069775,-0.171292089409211,0.0129378378040689,0.0094245614605311,0.0346512103114264
15,NaN,NaN,NaN,3.45528489436558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,46.1606416199848,NaN,NaN,NaN,-0.553796617756757,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,22.8682375492528,NaN,-0.00173441815565404,NaN,0.0492964822977296,0.043050018395782,NaN
30,NaN,0.228267392791045,NaN,NaN,NaN,NaN,0.0462703649789848,NaN,NaN,NaN,NaN,0.0495654115060504
35,0.0815087560865485,NaN,NaN,5.89869316571333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,31.3375886709512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,0.00417103705001454,NaN,NaN,NaN,NaN,NaN,-0.725969979972685,0.0740859091666818,NaN,NaN
50,NaN,NaN,NaN,19.9431467791031,NaN,24.4639233372844,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.106376894056046,NaN,NaN,0.0668937431184583,NaN
60,NaN,NaN,NaN,NaN,20.6593548514669,NaN,0.21257709002357,NaN,NaN,NaN,NaN,NaN
65,NaN,0.105711303553591,NaN,NaN,NaN,NaN,NaN,NaN,8.94581437594226,NaN,NaN,0.174956960847845
70,0.0751259865373077,NaN,NaN,29.8915546989932,NaN,NaN,NaN,NaN,NaN,0.0568949951432695,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,16.4658552581045,NaN,0.194937729839861,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,13.438168330015,NaN,NaN,NaN,NaN,NaN,0.048493705668658,NaN
90,NaN,NaN,0.00351584845406885,37.7855995158249,NaN,NaN,0.205825607248595,NaN,17.5406931729169,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.156964271921283
100,0.0712903459095638,0.105769156517614,NaN,42.397189485289,10.5804714364716,12.9113427396098,NaN,0.21322329607575,21.2429225866923,0.0400227166240285,0.0436198331534297,NaN
150,0.0825362249162747,0.164938647858705,0.00480976387130209,46.229672364296,13.5631727319667,8.59631178969088,0.0939120543997803,0.135210474190142,36.4487603078557,0.0281916309738884,0.0269497561609581,0.1006467253323
200,0.078979382168622,0.148349721747334,0.00471287917191607,41.5736439633103,13.7398722295881,10.1358982671005,0.0879199302471018,0.081525088457601,36.224902788426,0.0259522095554952,0.0270144360910636,0.0867527838372743
250,NaN,0.134224693968078,0.0044364583733086,44.0604590280874,13.1202892347098,NaN,0.104810326749845,0.0944431609662945,35.0340675064302,0.0310583191248546,0.0275913141335648,0.0825903035990223
300,0.0753705006581656,NaN,NaN,43.225200891062,NaN,9.39948602021935,0.113803370670785,0.0963936814356402,34.188785984653,NaN,0.030343657813494,0.0954434862453224
350,NaN,NaN,0.00433386977758674,NaN,12.4820535484898,10.1218690137746,NaN,NaN,35.2691933193672,0.0276635505197502,0.0293643609727726,0.0891798669018425
400,NaN,NaN,NaN,NaN,NaN,10.3184106048812,0.0990493654981229,0.104199115683678,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.0939625019875975,NaN,NaN,NaN,NaN,0.0962263445380997
