t,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs
0,-0.497928611954367,0.00303435120607845,0.9220231598571
4.5,63.8424661131591,NaN,NaN
9,NaN,NaN,-0.122904188519276
9.5,58.9648008079179,NaN,NaN
10,NaN,-0.00271100246384261,NaN
15,49.4979242243492,NaN,NaN
20,43.0324584056873,NaN,1.7657412480675
25,36.6663772073577,0.0193895545269698,NaN
30,38.0648708433975,NaN,1.35393076053023
35,NaN,0.0218708583630559,NaN
40,34.677275779094,NaN,1.39446611295065
50,26.2674750748814,0.100629318681455,3.91442309304838
60,25.0598090534234,NaN,NaN
65,NaN,0.185981483487749,8.36478318902014
70,16.753564624032,NaN,NaN
80,NaN,NaN,15.4701698628459
85,16.4788953214178,0.231176862173327,NaN
95,NaN,NaN,23.6965608167125
100,18.9888174975194,0.22256268318816,24.6143197110392
150,NaN,0.154147478051755,40.1486725152108
200,NaN,0.143228333981766,42.0483570621296
