t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3RNA_Obs
0,-0.0213982676935362,0.0672544004751863,0.00026398851684338,0.113149065722424,0.000650249629310299,0.00983165787902449
15,0.863893456058605,2.18028983292897,NaN,NaN,0.00116076595380845,0.0137838069134768
20,NaN,NaN,NaN,0.0723271242358111,NaN,NaN
25,NaN,NaN,0.000397388030624562,NaN,NaN,NaN
30,0.557706517233409,1.69617540501778,NaN,NaN,0.00077771154682629,0.0129051566976908
40,NaN,NaN,NaN,0.0761322387281278,NaN,NaN
45,NaN,NaN,NaN,NaN,0.000856877120110758,0.0126721322934992
50,0.416622779316938,1.45368371630598,0.00109247372511761,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.00996861488349138
65,NaN,NaN,NaN,0.149405126958637,0.000748023404750584,NaN
70,0.407626979755467,1.39821272006539,NaN,NaN,NaN,NaN
75,NaN,NaN,0.00240073455351217,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0102151254267219
85,NaN,NaN,NaN,0.307882359170313,0.000766808030005061,NaN
90,0.34646391028906,1.20750691107607,NaN,NaN,NaN,NaN
100,0.303436808320528,1.21716852836964,0.00242407758444989,0.376986743238049,0.0006589356065041,0.0109207720078605
150,0.337006726376124,1.06143906906804,0.00258129674030007,0.48703040559241,0.000766198407511404,0.0113482560024066
200,0.267635249854231,1.16141056377449,0.00265653645788059,0.672630806502431,NaN,0.00941322529397219
250,0.231998981587145,1.0500947835639,0.0026539358176898,0.790691694105464,NaN,0.011083479169334
300,NaN,NaN,0.00258464201111346,0.804362669232006,NaN,NaN
350,NaN,NaN,0.00270289862644713,0.849985565999533,NaN,NaN
450,NaN,NaN,0.00297108849714301,0.896129844337457,NaN,NaN
