t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,0.00422605963063484,0.0168118176011827,0.000303821341889865,0.0889665286895918,0.0109204784459642
10,NaN,NaN,NaN,NaN,0.00924270833141937
15,0.116745319414443,0.482492647230829,NaN,0.0836757438728099,NaN
20,NaN,NaN,0.000298331270594789,NaN,0.00989570555286126
25,0.0837886831528644,0.336893662400848,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0929982481174252,0.0100550617450184
40,0.0592585572578092,0.198382909991673,0.000295841261564626,NaN,NaN
45,NaN,NaN,NaN,NaN,0.0103976059083169
50,NaN,NaN,NaN,0.110459816017737,NaN
55,0.0475793967757514,NaN,NaN,NaN,NaN
60,NaN,0.121588735082884,0.000575797753274985,NaN,0.00948612746314468
70,0.0426497071622949,NaN,NaN,0.118421706475317,NaN
75,NaN,0.100499822786091,NaN,NaN,0.0109198999802084
85,NaN,NaN,0.000619669086119772,NaN,NaN
90,0.0467144902943656,NaN,NaN,0.124605903679404,0.00885741477889174
95,NaN,0.0924717133645087,NaN,NaN,NaN
100,0.0357717142397676,0.0823074375672396,0.000634290692268086,0.133243360878729,0.00931741600786067
150,0.0330670447762538,0.0836024659399642,0.000506183673661028,0.156529239866377,0.00910566291949887
200,0.035786813265194,0.0795827993635545,0.000501725565725253,0.173379212624699,NaN
250,NaN,NaN,0.000458436493809396,0.170238528662979,NaN
300,NaN,NaN,0.000494609690998383,0.159707353522114,NaN
