t,PTPAct_Obs,npSTAT5_Obs
0,0.021559767011962,0.0502801366112539
10,-0.00222609415186641,NaN
15,NaN,-0.03144358450288
25,-0.0890319731126335,-0.0533943198231808
35,-0.0611860006166063,NaN
40,NaN,-0.0118328713205424
50,-0.0377819907537811,NaN
55,NaN,0.0425253140852421
65,-0.125816185849135,NaN
75,NaN,-0.0352157275057463
85,-0.0930739799603349,NaN
95,NaN,0.0631817112145418
100,-0.0461285439284462,-0.0977805236153451
150,-0.0631396938625839,0.0152876761489575
200,-0.0412573607542879,0.0700771117685248
