t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,0.00331803388085685,0.00010184140812248,3.80705299493258,0.000219980839591196,0.307147235187161,0.0410457834907282
6,0.804550190530422,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,55.9793686434939,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,-0.046184219796802,NaN
10,0.477909462526973,0.002131216294921,NaN,-0.00643391568865571,NaN,0.0322754015866558
15,NaN,NaN,47.8213741640555,NaN,NaN,NaN
20,0.306056106764878,NaN,45.6373456586303,0.00717907235212036,-0.429189731804917,0.0356356205629563
25,0.26374342305827,0.00379663410353191,NaN,NaN,NaN,NaN
30,NaN,NaN,37.7204501851481,NaN,-0.581681275874478,NaN
35,0.181117786594648,0.00411971829650379,34.2064170528097,0.0139505022818656,NaN,0.0797982069588007
40,0.151964998479067,NaN,NaN,NaN,0.424935080799473,NaN
45,NaN,NaN,28.2114579378316,0.0647346331952968,NaN,0.116515860178208
50,0.125972691479402,0.00399160761332378,NaN,NaN,1.9509229351746,NaN
55,NaN,NaN,23.4548693184884,NaN,NaN,NaN
60,0.115582072970102,NaN,NaN,0.129921887804057,NaN,0.167981386296527
65,NaN,0.00390270136658484,NaN,NaN,6.05998466278553,NaN
70,NaN,NaN,17.0603657930719,NaN,NaN,NaN
75,0.0878407328571949,NaN,NaN,0.187832373579159,NaN,NaN
80,NaN,NaN,14.778449505156,NaN,14.0696095431049,0.185467582263722
85,NaN,0.00379950454806626,NaN,NaN,NaN,NaN
90,0.123642314873409,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.203191492422249,20.9289933627446,NaN
100,0.101208656090375,0.00410379823422664,12.9942788734112,0.206567496783655,23.2789009198827,0.158439239495167
150,NaN,0.00410972398864849,10.4956798579868,0.140857399495621,34.9617793569841,0.0941855933186297
200,NaN,0.00467913168076915,NaN,0.0896031417657874,35.5713108369308,0.0794534470522505
