t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,0.0156489772242446,0.697247983587036,1.41248733746905e-16,2.39299940521167e-16,-1.06009862019171e-13,3.10430850365423e-15
10,0.613982411842373,NaN,NaN,1.01144581150991e-15,NaN,4.06936124455718e-15
15,NaN,55.3052869140556,6.60822158233226e-16,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,-1.91855373598507e-13,NaN
25,0.361742146860687,44.2883395533448,NaN,2.44136172542536e-15,NaN,4.07431050425181e-15
35,NaN,NaN,9.29583822008947e-15,4.21892162661311e-15,NaN,NaN
40,0.275725045166634,36.0100352283207,NaN,NaN,NaN,8.89328694994575e-15
45,NaN,NaN,NaN,NaN,2.82873179285444e-13,NaN
50,NaN,NaN,NaN,8.66820832435103e-15,NaN,NaN
55,0.273955480681702,31.4956696941998,2.02077545241976e-14,NaN,NaN,1.64444373913581e-14
65,NaN,NaN,NaN,1.72740762599625e-14,5.35944642857991e-13,NaN
70,0.210909838824403,32.5123355442219,NaN,NaN,NaN,1.73078342004761e-14
75,NaN,NaN,1.98116059695418e-14,NaN,NaN,NaN
80,NaN,NaN,NaN,2.1847071493886e-14,NaN,NaN
90,0.228230411043186,28.9553145177079,NaN,NaN,2.03245065950125e-12,2.10925372265262e-14
95,NaN,NaN,2.30106908823549e-14,NaN,NaN,NaN
100,0.197298194460511,24.2911555063492,2.28321491971586e-14,2.3772512553896e-14,2.26712364155788e-12,2.05644056381683e-14
150,NaN,30.7679759013974,2.07117396402706e-14,2.01634067531564e-14,4.52123906138457e-12,1.86663230194372e-14
200,NaN,27.4837097446846,2.1156882523628e-14,2.08646202735502e-14,5.4304180554461e-12,NaN
250,NaN,26.7183220838539,1.95978127713283e-14,NaN,5.99072688970325e-12,NaN
300,NaN,NaN,1.84160880768507e-14,NaN,6.11953158874792e-12,NaN
350,NaN,NaN,1.92838990968651e-14,NaN,6.68426245962065e-12,NaN
450,NaN,NaN,1.78315030529634e-14,NaN,6.62996797743718e-12,NaN
