t,CISHnRNA4_Obs,CIS_Obs
0,0.000228714633058614,0.0972848620325602
8.5,0.000219410017039158,NaN
15,0.000186401581504147,0.100948226014382
25,0.000107735732244259,NaN
35,4.20998747254314e-05,0.0952415957851552
45,-2.48760900083986e-06,NaN
55,NaN,0.0981794753157957
60,-3.78758378956221e-05,NaN
70,-3.48839284760487e-05,NaN
75,NaN,0.0883155601801245
90,-4.23622972438618e-05,NaN
95,NaN,0.0790238927544089
100,-3.79599596327134e-05,0.080421343185225
150,-4.14783212064751e-05,0.0498016631850647
200,NaN,0.0346626369626122
250,NaN,0.0120054440871436
300,NaN,0.0074957431627546
