t,pSTAT5_Obs,CISHRNA_Obs,CIS_Obs
0,-1.87974480119469,0.00621354090340122,-0.308587255612049
4.5,66.7662663026986,NaN,NaN
7.5,NaN,NaN,-0.754690631596359
9.5,58.8124680059843,NaN,NaN
10,NaN,0.00275689301667457,NaN
15,51.0530580218451,NaN,-0.244698235714487
20,49.4944545165529,NaN,NaN
25,43.995776601841,0.00583962135522224,0.0613095460901829
30,38.9303944963633,NaN,NaN
35,NaN,NaN,0.286851116837369
40,32.6414132950829,0.054487931320246,NaN
45,32.3233020578299,NaN,2.05696029056721
55,24.3917019025591,0.130993238121862,4.6314479101977
65,18.8247823528401,NaN,NaN
70,NaN,0.191352456267361,11.4241352559426
80,15.7919508782874,NaN,NaN
85,NaN,NaN,18.5521458976192
90,NaN,0.243480504329916,NaN
95,15.7911122364514,NaN,NaN
100,NaN,0.222571888368165,25.8285327481907
150,NaN,0.153402005125736,39.5986811259328
200,NaN,0.136417798687513,NaN
