t,Epo_Obs,EpoR_Obs
0,901.76615262905,287.37597042858
15,652.919412926438,NaN
30,548.382313490444,88.4531738733591
45,517.119283025846,NaN
60,397.672189042987,NaN
65,NaN,104.243686942716
75,341.865197879584,NaN
95,282.728398879145,109.869646414556
100,276.310855326219,NaN
150,167.884574688978,137.780440764895
200,33.8547847887034,210.550597054955
250,56.4249828160102,200.821552409155
300,-43.8239488846494,NaN
350,NaN,234.685123080247
400,NaN,292.734340197762
500,NaN,283.1441360336
600,NaN,281.412525857254
750,NaN,284.559953525116
