t,STAT5A_Obs,pApB_Obs,nucpApA_Obs
0,136.088472346674,0.0080180838193057,0
15,27.2161457676183,23.9705705463658,68.1222845041243
25,NaN,NaN,175.554781776273
30,19.0257485051115,11.8526333667115,NaN
40,NaN,NaN,81.6738334589881
45,41.5733486521725,14.5629300620818,NaN
55,NaN,NaN,85.2715238029352
65,45.8076346150427,13.1248078208471,NaN
70,NaN,NaN,116.966764873407
80,NaN,10.4277306302266,NaN
85,38.7614167637419,NaN,71.9554291384256
100,32.5471046309045,6.45588835812058,111.057004444633
150,106.919238359632,1.4396368760444,46.170178708294
200,89.6658203145207,0.681504301842481,36.0485145766708
250,128.002630917972,0.134537948071306,21.9737339116936
300,NaN,NaN,16.8489105586555
350,142.689809434128,NaN,NaN
