t,npSTAT_npSTAT_Obs,nSTAT2_Obs,nSTAT5_Obs
0,0.00296887822748758,0.00722397428642573,-0.00679717172845141
5,0.139452420073262,0.202858604528241,NaN
5.5,NaN,NaN,0.103397966067148
10,0.110436372846099,0.223804094582458,0.231977497143976
15,0.109719732458549,0.209869980361423,NaN
20,0.09712446866972,0.209974572620988,0.205725015835337
25,0.0911776943728136,NaN,0.205359066981356
30,NaN,0.173294398896093,0.179809602883371
35,0.0603569606814335,0.12476609880805,NaN
40,0.0346506059514498,NaN,0.106027490554674
45,NaN,0.0423013847676265,NaN
50,0.0108360676681649,0.0207984857855418,0.0275160891939712
60,-0.00480358832774606,0.00296517912693686,0.00266166820073771
75,-0.00201949933005662,0.000169199887127776,0.00158537926752835
90,0.0015047342990696,0.00441824258007138,0.0101490549078808
