t,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs
0,0,8.92719102086911,1.10780961012063
2,43.3486602346103,NaN,NaN
2.5,NaN,NaN,1.20645071777009
3,NaN,16.6783026944559,NaN
4.5,126.665224454052,NaN,NaN
5,NaN,NaN,1.86879785324868
5.5,NaN,20.6670378246184,NaN
6.5,197.957782072703,NaN,NaN
7.5,NaN,NaN,2.2244492521225
8.5,NaN,51.8387629874871,NaN
9.5,2641.64060827582,NaN,NaN
10,NaN,80.2495872753351,4.23047727952437
15,7897.52573530286,2480.82606946999,0.542597958243864
20,478.485788126308,5458.26282962965,0.0365890713906126
25,NaN,4498.60711703458,0.0153548346951751
30,NaN,9217.46680101763,NaN
40,NaN,7726.7060061909,NaN
45,NaN,8184.96791927439,NaN
55,NaN,9027.50380887438,NaN
70,NaN,8753.14156577903,NaN
