t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,5.70039422497659e-06,0.000430691253254524,33712.8939363815
85,NaN,NaN,2158910.23758489
150,NaN,NaN,1604234.63021256
250,0.000302364606469731,NaN,889528.422439384
300,NaN,0.0218010375772832,NaN
350,NaN,NaN,614634.127509387
450,NaN,NaN,357110.537372987
550,0.000127734801525422,NaN,224613.99263886
650,NaN,0.0111360157663805,NaN
700,NaN,NaN,87135.0105839358
850,4.55724072129104e-05,NaN,54035.4613292325
1000,2.04520989579054e-05,0.00346085460321907,36506.2484868903
1500,5.49184948823454e-06,0.000293971134768057,69100.0171615817
2000,-7.55230426020447e-07,-0.000275466874146376,NaN
2500,NaN,0.000867428904208532,NaN
3000,NaN,0.000817248908288612,NaN
4000,NaN,-2.63782455756729e-05,NaN
