t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,2.37866738279179e-06,-0.000118709217456276,226129.519501057
35,NaN,NaN,10495367.7475597
70,NaN,NaN,5041946.77012641
100,NaN,NaN,2252384.41076225
150,0.000313720867467901,NaN,471444.527723767
200,NaN,NaN,103766.535695961
250,NaN,0.0212715968806657,298992.26702127
300,NaN,NaN,105662.624899363
350,5.87311539828109e-05,NaN,-197475.499451049
450,NaN,NaN,-105757.538172433
550,8.99887072515939e-06,0.0052040248508853,-18959.8443103012
650,NaN,NaN,-103473.064495657
800,7.57840948983546e-06,NaN,NaN
850,NaN,0.000449362004992633,NaN
1000,-9.59813875008717e-07,0.000882913965818309,NaN
1500,-4.16756689249262e-06,-0.000246501455298553,NaN
2000,NaN,6.41848953576761e-06,NaN
2500,NaN,0.000323382033258367,NaN
3000,NaN,0.000266293786057918,NaN
