t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,7.5581846333912e-06,-3.28741671043159e-05,-36674.1503156072
30,NaN,NaN,12719356.0049274
60,NaN,NaN,4689470.81252765
90,NaN,NaN,1419935.37989064
100,NaN,NaN,1060542.28218404
150,NaN,NaN,-75990.6596076933
200,0.000219792220167464,NaN,16250.8615458858
250,NaN,0.0199307986724297,-65678.2396379198
300,NaN,NaN,35497.0302363374
350,NaN,NaN,85872.007230666
400,2.87822158852295e-05,NaN,NaN
450,NaN,NaN,-386602.309233394
500,NaN,0.0059765747176516,53993.9738816849
650,1.92245153522038e-06,NaN,NaN
750,NaN,0.00237787493637482,NaN
900,4.48866570316685e-06,NaN,NaN
1000,6.08487699524972e-06,0.00116166605156538,NaN
1500,5.99768891319487e-06,0.000460934352364756,NaN
2000,NaN,0.000253963246739509,NaN
2500,NaN,0.000402305244569829,NaN
3500,NaN,0.000388114481706775,NaN
