t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,-1.1366271211573e-06,0.000301366569106326,-505.04405704601
200,NaN,NaN,214176.107541249
250,0.000164254799988264,NaN,NaN
350,NaN,NaN,169178.82638473
450,NaN,0.00885462615646317,NaN
550,9.13848278414165e-05,NaN,NaN
600,NaN,NaN,105928.943349024
800,NaN,NaN,67329.0659385078
850,5.80711062819981e-05,NaN,NaN
900,NaN,0.00432878478238291,NaN
1000,5.01528337928689e-05,NaN,52832.3647635362
1500,1.87435225017646e-05,0.00175664815541113,22845.4856211083
2000,6.91911530326339e-06,0.000703045504261549,-7717.25176485228
2500,1.27204833315231e-05,0.000370243617809882,NaN
3000,3.16843762306239e-06,NaN,NaN
3500,-2.37135706924036e-06,0.000260655326386876,NaN
4000,1.40693514379903e-06,-8.61804334009043e-05,NaN
5000,NaN,0.000290801572525139,NaN
6500,NaN,1.13543137175713e-05,NaN
