t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,3.21259170598698e-06,-1.08225462798428e-05,-55736.2539114856
35,NaN,NaN,5444007.77911406
75,NaN,NaN,4442755.11535386
100,NaN,NaN,3357063.54627051
150,NaN,NaN,2078128.71449756
200,NaN,NaN,1082790.08814297
250,0.000265747541829981,NaN,528828.621076145
300,NaN,NaN,250196.920696388
350,NaN,NaN,-105367.142893812
400,NaN,0.0165963656582995,NaN
450,NaN,NaN,10349.0852973734
500,NaN,NaN,48814.2792352483
550,3.34504002730194e-05,NaN,NaN
600,NaN,NaN,197807.373110253
750,NaN,NaN,-25217.5353356184
800,NaN,0.00228021605434169,NaN
850,-2.49889132013717e-06,NaN,NaN
1000,9.97458054138358e-06,0.000849369783588287,NaN
1500,3.71742131872791e-06,0.000278075126610507,NaN
2000,-3.27389968554991e-07,NaN,NaN
2500,NaN,0.000575671316345341,NaN
3000,NaN,-9.10257576195741e-05,NaN
4000,NaN,0.000513027003055937,NaN
