t,pEGFR_Akt_Obs,pAkt_Obs,EGF_EGFR_Obs
0,-4.06287481003163e-06,-0.000324569784076058,-3904.71125605986
150,NaN,NaN,676795.894226923
250,0.000269688638501118,NaN,NaN
300,NaN,NaN,445114.525564003
400,NaN,0.0153570831898303,NaN
450,NaN,NaN,274012.940452376
500,0.000148221975044901,NaN,NaN
600,NaN,NaN,213984.688441872
800,8.43249447521972e-05,0.00850971316420892,107407.764302068
1000,4.86663067203742e-05,NaN,76426.0988928693
1500,2.6923182966285e-06,0.00191391078139068,11415.4457800022
2000,2.36703320916124e-05,0.000943753680094052,-13595.1750979408
2500,NaN,0.000802226038121659,11811.0410312797
3000,NaN,0.000680045745416658,NaN
3500,NaN,0.00032384212021467,NaN
4500,NaN,-0.000287685335126078,NaN
5500,NaN,-0.000223138752060783,NaN
