t,pApoER2_re_Dab1_Obs,Compound_1_Obs
0,-1.92805847961414e-06,0.995781335763585
30,0.000179135503423709,0.964554261970283
60,NaN,0.655743086570264
65,0.000111547106841216,NaN
90,NaN,0.598647950956046
95,9.77811271880525e-05,NaN
100,NaN,0.30201694625739
150,5.23875008574863e-05,0.327836643604704
200,4.90107724024101e-05,0.300505074778257
250,NaN,0.477194194648844
300,2.46501913911334e-05,0.395836002024792
350,-5.51604006490336e-06,NaN
400,-4.85794231166657e-07,0.267548406098408
450,NaN,0.502876580863815
500,9.78824282675423e-08,NaN
600,NaN,0.607374208473488
