t,pApoER2_re_Dab1_Obs,Compound_1_Obs
0,-2.70605812225091e-06,1.38071931235725
25,NaN,1.02015559499376
35,1.09846814881791e-05,NaN
55,NaN,0.622531360259345
70,1.17838667695596e-05,NaN
80,NaN,1.35297335615982
100,1.88007444001916e-05,1.2990620687994
150,3.49283200636456e-05,1.86574083789741
200,3.18330530520521e-05,1.87135439207457
250,3.98560396893618e-05,2.13163490563768
300,3.02560298792907e-05,NaN
350,5.21291718761714e-05,1.8209445606866
400,NaN,1.69685800649548
450,4.52100620663697e-05,NaN
500,NaN,2.37262877534688
550,5.18970868693149e-05,NaN
600,NaN,2.16160532950958
