t,SFK_Obs,Compound_1_Obs
0,5.95486472803114e-09,1.23465978174017
25,6.28531348380299e-09,NaN
30,NaN,0.842380664891159
50,3.98928211886488e-09,NaN
55,NaN,1.65826577605771
80,5.02080431707812e-09,NaN
90,NaN,0.874355396519762
100,7.24771939546825e-09,1.71603337222648
150,5.63915320371786e-09,1.60937700146287
200,6.24580632092516e-09,2.20520454652433
250,4.25992005311436e-09,1.63232032345571
300,5.31455101981646e-09,NaN
350,8.0086526360333e-09,1.79530250892441
400,NaN,1.76761435387172
450,5.844295793633e-09,NaN
550,6.33083275967527e-09,1.78442674724221
