t,pApoER2_re_Dab1_Obs,Compound_1_Obs
0,-9.15789643298975e-07,1.23624799859032
20,0.000346476228546112,NaN
30,NaN,0.846058647642324
40,0.000230915118023974,NaN
65,0.000176181197131206,0.584775689690465
90,0.000101925637366461,NaN
100,0.000121326193328111,0.315049252321683
150,3.23919125136294e-05,0.268714491514945
200,5.27376762366118e-05,0.20982563203515
250,1.12067852004726e-05,0.224921680624535
300,1.96259150475778e-05,0.295149403587692
350,NaN,0.0473572787252838
450,NaN,0.070830541030576
550,NaN,0.175605459729064
