t,pRAF_Obs,pMEK_Obs,ERK_Obs
0,2.37474509653531e-05,0.00289413208921172,2.4118838902351
2,0.000152347551560452,0.00898098212028128,1.32411538782973
3.5,NaN,NaN,1.80639030209178
4,NaN,0.0070063490710559,NaN
4.5,4.84737146327279e-05,NaN,NaN
5.5,NaN,NaN,0.261311235305169
6.5,1.98425642044962e-05,0.00103600898757734,NaN
7.5,NaN,NaN,1.14907288462136
9,NaN,0.000183858220840269,NaN
9.5,8.66048192451703e-06,NaN,NaN
10,-9.74141559822275e-06,-0.0020635429504846,1.84647511391809
15,1.87083723722893e-05,3.72785795880136e-06,0.0452622782738437
20,3.26125566359729e-06,0.00157009222855684,-0.1405571878407
25,6.02453849039463e-06,-0.000594544536646458,0.846051096236367
