t,pRAF_Obs,pMEK_Obs,ERK_Obs
0,-2.7575466940495e-05,-0.00334574898892353,1.13304866903249
2,0.000249110916019315,0.0210307519247231,0.133224145539507
4,0.000102192386578989,NaN,0.550051130480637
4.5,NaN,0.00852229199887936,NaN
6.5,-3.62311496299047e-05,NaN,0.298668067227385
7.5,NaN,0.00348234297913193,NaN
9,8.1265182507166e-05,NaN,0.626344314788743
10,-1.33053692299359e-05,0.000927139129804424,0.447541464401991
15,0.00016422225739401,-0.000516370479401018,0.0756016205033178
20,4.50342788108969e-05,0.0113747422860466,-0.595197631807711
25,6.10290313137557e-06,7.61297186426153e-06,0.637555212497552
