t,pRAF_Obs,pMEK_Obs,ERK_Obs
0,-8.50404672307444e-06,0.00095252244881921,1.01823675193644
2,0.000177827115412131,0.00276186355153847,1.475312127358
4,6.1960299226953e-05,NaN,1.81560087971861
4.5,NaN,0.000412019187759181,NaN
6.5,4.21000926183993e-05,0.000779904990540365,0.851878396577962
9,-2.1701895280971e-05,-2.55541168372785e-05,1.19873878716946
10,3.82637831265452e-05,1.9563133692684e-05,1.56557161576338
15,4.62264979502413e-05,0.000129728672239281,0.881386552193287
20,5.43836216638726e-05,0.000234786028618247,2.38492045908266
25,-5.25026018028645e-06,-8.11332818304351e-05,0.779194056818733
