t,K27me1K36me0_Obs,K27me2K36me2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.0013031438212228,0.037743229345269,0.0348971162092435,0.7070479463311,0.0451912398242597
3.5,0.00104057654098468,0.0372666172176537,0.0294893924249913,NaN,0.0430111206327358
4,NaN,NaN,NaN,0.794231420260529,NaN
6.5,NaN,NaN,NaN,NaN,0.0504385299906318
7,NaN,NaN,0.0279885109577606,NaN,NaN
7.5,0.00090133445351684,0.0502353071119393,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.71866518372571,NaN
10,0.00109136198342282,0.049459867632418,0.0266495208263405,NaN,0.0449222256304632
15,0.000942448618816084,0.0448679643047714,0.0283547410195065,0.816908448527385,0.0566049906668537
20,0.00125174237934023,0.0579706240646778,0.0250916350107633,0.854177830296694,0.0540365416011198
25,0.000951108944977475,0.051408655664337,0.0228871621876037,0.734090464463813,0.0542494916316798
30,NaN,NaN,0.0196386907741053,0.770934379448969,0.0566716337880274
35,0.00101389325670595,0.054104215143318,NaN,NaN,0.0562476845332198
40,0.00101019144021072,0.0450466722175326,0.0200380201375782,0.848853494844817,NaN
45,NaN,NaN,NaN,NaN,0.0665206124371106
50,0.00111903807902659,0.0500004722158951,0.0129312568661812,0.753214436459714,0.0534623280940707
60,0.00102704371486378,0.0566287934313345,0.012107530320293,0.734138816031808,0.0598003036988922
