t,b10_Obs,bio_Obs,ohb10_Obs
0,-0.0123691686810915,0.451248241483357,-0.00213884161657465
20,NaN,0.623638187760338,0.728939516440717
25,0.159157427357416,NaN,NaN
40,NaN,1.25756415024229,1.15630768856948
45,0.201092208895123,NaN,NaN
55,NaN,NaN,1.6083333525144
65,NaN,2.23220212202431,NaN
70,0.232180303064392,NaN,NaN
80,NaN,NaN,1.88068669288944
90,NaN,2.40824975459041,NaN
100,0.234957287250943,2.65889785693682,1.71662534428585
150,0.175416337113448,2.59514891288474,1.64221539566818
200,0.125936684380134,3.16139737316264,1.38576706464909
250,0.0883474646190661,3.23747066690761,1.17760053070438
300,0.040825482778094,2.97988776740993,1.07553660604089
350,0.0442359944564707,3.22262731259747,0.946495414362658
450,0.0155886690792036,3.04490944590332,0.677127862156614
