t,b10_Obs,bio_Obs,zea_Obs
0,3.54918415582859,-0.0706282961048934,-0.0176641462619413
20,2.90147402530259,NaN,NaN
25,NaN,0.826827270363217,-0.0673267049228675
45,2.39605130711669,NaN,NaN
50,NaN,1.20194539324632,0.000330753441774459
65,1.73189016657535,NaN,NaN
75,NaN,NaN,-0.0255070789873417
80,NaN,1.91653868130035,NaN
90,1.26339693867626,NaN,NaN
100,1.12170827918369,2.42866745060902,-0.16392281639496
150,0.717627139275458,2.77095453857586,-0.133245704233397
200,0.423195360721497,2.79608908344676,0.0291806916645583
250,0.201757511308446,3.44832485120416,0.011038616290757
300,0.148356962437948,3.52477663497923,-0.00302913685402002
350,0.189144752239593,2.89870377552703,0.0139416370061932
450,-0.0458009763974843,3.49938971384104,-0.149531550626015
