t,b10_Obs,bio_Obs,bcar_Obs
0,0.0663617661118854,-0.0155094800517368,2.11064615969742
20,0.359779255927011,0.420388073811126,NaN
25,NaN,NaN,1.41853770414645
35,NaN,0.536343722094957,NaN
45,0.733032045658546,NaN,1.26079696507041
55,NaN,1.22180661027912,NaN
65,0.751276892617299,NaN,NaN
70,NaN,NaN,0.95713957965694
75,NaN,1.35416161189402,NaN
90,0.994448260364715,NaN,NaN
95,NaN,NaN,0.792225751198289
100,0.972375095002649,1.9878992706708,NaN
150,1.0370471852851,2.44755423212325,0.400983577428378
200,0.978065614461452,2.54461538025648,0.352138677402236
250,0.828204297124342,3.32608848905398,0.0427045901603886
300,0.665996239056642,3.47446581679767,0.0868097456029902
350,0.444614177668978,3.83590425801617,0.19585901977008
450,0.307946344677573,4.08224190246707,0.0484522783624591
