t,b10_Obs,bio_Obs,bcar_Obs
0,0.153822368476345,-0.253259391090556,2.62349364511762
20,0.713600506194697,NaN,NaN
25,NaN,1.12424381786397,1.68053119875538
45,1.23162112864665,2.15334658536064,NaN
50,NaN,NaN,0.952464224097683
65,1.25916240567947,NaN,NaN
70,NaN,2.71772754630831,NaN
80,NaN,NaN,0.548895304743797
90,1.2735568080963,NaN,NaN
95,NaN,3.43329861167015,NaN
100,1.16940144683655,NaN,0.323792115088047
150,1.00524050630368,3.80053785637946,0.117302326421528
200,0.588515224093654,4.52457336542767,0.0506700834084418
250,0.319543872382735,5.36993328569856,0.070338262782407
300,0.236530074523127,5.50455154412542,0.0186586199172395
350,0.173835909187904,5.02170496666121,0.0347965562804267
450,0.0568704365229335,5.40489831286989,-0.09344922983747
