t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,Uptake1_Obs,Uptake2_Obs
0,10164.2905965664,90.6803319482894,2921.92443994568,2.7792920850373,-1.37724240422051,-799.828299568148
3,NaN,NaN,NaN,18.8818261067029,NaN,NaN
6,2421.24733591447,NaN,NaN,10.2427408416924,NaN,NaN
7.5,NaN,NaN,93.5351570106243,NaN,NaN,NaN
8,NaN,8.69010750524645,NaN,NaN,NaN,1346.50572269744
9.5,NaN,NaN,NaN,12.8788328245844,48.8680743489955,NaN
10,2259.06266005563,NaN,NaN,NaN,NaN,NaN
15,NaN,4.66774623832061,121.862811278806,10.1245138408525,NaN,1934.17858953329
20,1834.54992313589,NaN,NaN,6.83679914394654,100.56713507403,NaN
25,2179.07573117022,7.06466969150803,112.319211465957,10.2045631779899,NaN,4216.95160064023
30,1920.10414630264,NaN,163.051917725778,NaN,89.8035507419783,NaN
35,NaN,15.1363446359327,NaN,8.26088277394233,NaN,2141.6209108245
40,1190.52944988553,NaN,-34.0565659052994,6.39606892988011,150.339240812523,3551.60511281603
45,NaN,10.325436968778,NaN,NaN,NaN,NaN
50,2245.73002911226,NaN,270.611791985313,4.98699845359296,NaN,NaN
55,NaN,11.1819061360193,NaN,NaN,61.6181567970097,2358.59126265502
60,2710.72101723972,NaN,NaN,NaN,NaN,NaN
65,NaN,9.66463996430036,87.2183503666689,NaN,156.019345839594,4174.22004835422
75,2077.04522036677,NaN,132.832696080394,NaN,NaN,4298.81030366699
80,NaN,10.9583215625814,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,127.271080609215,NaN
90,2260.70503681637,NaN,86.7458148631387,NaN,NaN,NaN
95,NaN,8.13010707265655,NaN,NaN,NaN,5395.97489108923
100,1825.27633361976,11.2354444370027,187.76507311302,NaN,103.370224191214,4413.73711846117
150,1769.21926847888,11.7641235332346,147.334414340035,NaN,155.420576868096,5015.91338000789
200,NaN,10.6048831404843,257.117914481174,NaN,184.09165574904,5173.16117570005
