t,Ins_Obs,Rec1_Obs,Rec2_Obs,Uptake2_Obs
0,10.4466957848223,96.4677814024252,3157.97151051737,-1.68052853424836
4,1.53138869645989,NaN,NaN,NaN
8,0.887481707228007,NaN,NaN,9.91524683475064
9,NaN,83.4713720164251,NaN,NaN
10,0.792463088931553,NaN,1792.44765765979,NaN
15,0.929060259540579,NaN,NaN,12.0787189281697
20,-0.641521439780424,81.8226337786592,NaN,NaN
25,NaN,NaN,2820.11550392209,8.20987550873684
30,-0.297780219803699,97.2323973353168,NaN,NaN
35,0.0269906464402763,NaN,2515.44964760991,12.0117427456378
40,NaN,98.4492061709362,NaN,NaN
45,0.302919677000315,NaN,NaN,10.0720168366161
50,NaN,75.75105515537,2666.55903178011,NaN
55,0.189584383969788,NaN,NaN,7.88532437022228
65,-0.188730093580411,88.0095791878118,2326.07389178218,NaN
70,NaN,NaN,NaN,7.43192262680069
75,NaN,101.778908124626,NaN,NaN
80,NaN,NaN,1949.66184763222,NaN
85,NaN,NaN,NaN,7.81603094372727
95,NaN,89.1850958585093,NaN,NaN
100,NaN,123.469327898482,2873.54629843368,11.2558849057176
150,NaN,76.6873042024157,3202.84501074059,8.11031472868499
200,NaN,99.0003302890322,2884.25108639141,10.9378292975158
