t,RAF_Obs,pRAF_Obs,MEK_Obs
0,1.04904170380848,1.96025952613657e-05,1.03395562598175
0.4,0.945070427175963,NaN,NaN
0.8,0.96419652320265,NaN,NaN
1.5,1.02805430255364,NaN,NaN
2,NaN,NaN,0.910247188840271
2.5,0.997036761201305,NaN,NaN
3,0.888269105310347,NaN,NaN
3.5,0.968836038989525,NaN,NaN
4,NaN,NaN,0.942988910061981
4.5,1.17348724401053,3.53360806886842e-05,NaN
5.5,0.958449484207754,NaN,NaN
6.5,NaN,NaN,1.06032426249467
7,1.03911130600599,NaN,NaN
9,NaN,2.30047983467362e-05,0.969371890834628
10,NaN,NaN,0.865707758120236
15,NaN,1.99783390336151e-05,0.994929643430512
20,NaN,2.23896361842346e-05,0.961481401295577
25,NaN,NaN,0.924145355777606
