t,RAF_Obs,pRAF_Obs,MEK_Obs
0,0.993800530290913,1.24276964444292e-05,1.08964695194832
0.2,0.97430266985391,NaN,0.994059105694604
0.4,1.02241213600805,NaN,NaN
0.45,NaN,NaN,0.970398762492805
0.65,1.11111277512163,NaN,NaN
0.7,NaN,NaN,1.0289742488282
0.85,0.967002685292635,NaN,NaN
0.95,NaN,NaN,1.05200484800946
1,1.05507330968653,NaN,1.05382538261872
1.5,1.01126344652705,NaN,0.958201348125646
2,0.960878854774501,NaN,0.941441696627844
2.5,0.999904494284749,NaN,0.998739877122357
3,NaN,NaN,0.959778430373364
3.5,0.9798980747194,NaN,NaN
4.5,NaN,0.000137085975906449,NaN
9,NaN,0.000124290936496347,NaN
15,NaN,0.00013241018021008,NaN
20,NaN,0.000121957813237985,NaN
