t,RAF_Obs,pRAF_Obs,MEK_Obs
0,1.00056299386907,1.94054684360608e-05,1.03552891933575
0.35,1.06205487156228,NaN,NaN
0.55,NaN,NaN,0.97536368462273
0.65,1.02931216044678,NaN,NaN
1,0.950456768618448,NaN,1.06050494633915
1.5,1.06438643274363,NaN,0.97795123533225
2,0.875510444506362,NaN,NaN
2.5,0.89964066446342,NaN,0.979710288785927
3,1.06564648161961,NaN,1.05299784993465
3.5,1.11835788980434,NaN,NaN
4,NaN,NaN,1.12112032870412
4.5,0.946454224591683,NaN,NaN
5,NaN,4.48962521747374e-05,1.11499602447538
5.5,0.959591421389946,NaN,NaN
6,NaN,NaN,1.06173686696508
7,NaN,NaN,1.0854720536692
8.5,NaN,NaN,1.01462552415137
10,NaN,4.42255351302239e-05,NaN
15,NaN,4.02453506908014e-05,NaN
25,NaN,3.9871451471567e-05,NaN
